country,time,earlyLeavers,nonFormalEducation,continousSkillsImprovementNeed,transferableJobSkills,teleworkingNever,flexitimePc,enterprisesProvidingTraining,enterprisesWithCvtAgreement,enterprisesWithCvtPlanning,hoursSpentCvt,educationSpending,inWorkPoverty,jobTransition,formalEducation,temporaryBecauseNoPermanentWill,trainingExpenses,employmentIncentivesExpenses,directJobExpenses,startUpIncentives,unemploymentBenefits,maximumDurationFTC,initialCostBusiness,minimumCapital,totalTaxRate,unemploymentTransitions
Direction,,-1.00,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,-1.00,-1.00,-1.00,1.00
Belgium,2015,10.10,32.50,69.60,62.40,91.00,15.60,73.80,39.10,56.70,13.10,6.55,6.50,NA,3.00,7.80,0.16,0.16,0.06,0.00,3.10,36.00,5.20,18.20,58.40,NA
Bulgaria,2015,13.40,11.20,59.30,44.80,99.80,1.70,24.30,7.60,17.30,4.50,3.82,10.70,3.00,4.00,NA,0.02,0.01,0.10,0.01,0.50,36.00,1.50,0.00,27.00,12.00
Czech Republic,2015,6.20,42.40,63.50,47.60,97.40,24.40,83.10,9.70,52.80,6.90,4.51,1.80,5.00,3.50,6.50,0.02,0.13,0.06,0.00,0.50,999.00,6.90,0.00,50.40,22.00
Denmark,2015,7.80,18.30,81.70,66.10,95.10,24.70,57.30,14.40,47.50,5.50,8.75,18.70,11.00,37.30,3.10,0.37,0.28,0.00,0.00,1.50,999.00,0.20,14.50,26.00,37.00
Germany (until 1990 former territory of the FRG),2015,10.10,47.60,75.90,55.20,97.20,13.80,63.50,10.80,46.80,5.50,4.98,12.00,NA,25.10,1.00,0.20,0.02,0.01,0.01,1.00,24.00,8.90,35.80,48.80,NA
Estonia,2015,12.20,27.70,81.80,59.00,92.70,31.00,65.60,7.10,33.50,8.80,5.16,12.30,8.00,11.90,2.80,0.08,0.02,0.00,0.01,0.40,120.00,1.40,18.60,49.40,26.00
Ireland,2015,6.90,48.10,79.50,54.90,96.10,12.70,51.40,16.70,46.70,11.90,6.15,5.70,8.00,9.10,11.40,0.23,0.05,0.20,0.00,1.90,999.00,0.30,0.00,26.00,18.00
Greece,2015,7.90,18.50,61.60,18.40,97.30,14.60,19.30,8.20,15.30,3.00,NA,19.10,3.00,2.40,NA,0.09,0.10,0.04,0.02,1.00,24.00,2.20,0.00,50.70,6.00
Spain,2015,20.00,21.10,72.10,39.30,98.10,11.70,82.10,43.50,62.70,7.20,4.82,24.60,13.00,4.40,2.80,0.12,0.07,0.10,0.10,2.20,999.00,5.30,13.80,57.90,17.00
France,2015,9.20,35.80,79.70,52.20,94.90,26.40,70.20,78.90,56.30,8.30,5.68,10.00,10.00,8.90,12.40,0.36,0.05,0.22,0.03,2.00,999.00,0.90,0.00,70.80,25.00
Croatia,2015,2.80,22.50,76.00,33.20,98.80,10.40,42.70,4.90,24.90,4.00,4.21,5.80,8.00,2.80,NA,0.22,0.05,0.06,0.03,0.50,999.00,3.60,13.30,18.40,16.00
Italy,2015,14.70,26.90,52.80,39.10,98.10,12.80,56.40,17.30,42.00,6.30,4.29,12.50,7.00,1.30,1.40,0.17,0.23,0.00,0.02,1.70,36.00,14.40,0.00,65.20,13.00
Cyprus,2015,5.20,15.90,56.90,34.90,99.10,9.60,65.50,9.50,42.60,3.90,7.87,15.00,7.00,3.50,NA,0.05,0.07,0.00,0.00,1.20,999.00,13.00,0.00,22.50,17.00
Latvia,2015,9.90,38.30,61.50,50.30,97.60,17.20,29.00,1.80,16.40,3.10,4.96,9.60,6.00,9.10,3.60,0.06,0.03,0.02,0.00,0.60,999.00,4.30,0.00,35.00,30.00
Lithuania,2015,5.50,25.20,66.40,58.50,97.30,4.90,22.30,4.30,17.80,3.10,5.17,11.90,8.00,7.70,NA,0.07,0.14,0.03,0.00,0.50,999.00,0.20,6.40,42.40,25.00
Luxembourg,2015,9.30,63.90,91.90,61.80,74.30,13.60,64.70,27.50,49.70,12.20,NA,13.70,NA,11.40,6.70,0.05,0.39,0.06,0.00,1.40,999.00,2.00,22.50,20.60,NA
Hungary,2015,11.60,17.90,44.80,37.90,98.00,20.80,31.10,10.00,18.30,3.00,4.71,14.20,5.00,1.30,2.40,0.01,0.04,0.74,0.00,0.30,60.00,8.50,54.00,48.00,24.00
Malta,2015,19.80,36.80,89.00,65.50,98.30,6.60,40.80,12.20,35.10,7.80,8.04,3.40,6.00,8.60,2.30,0.02,0.07,0.00,0.00,0.50,999.00,14.60,1.50,41.50,NA
Netherlands,2015,8.20,36.40,73.70,69.50,91.30,29.30,67.60,34.90,56.60,9.00,5.93,7.10,11.00,42.20,8.90,0.07,0.07,0.00,0.00,1.50,24.00,5.00,0.00,39.00,30.00
Austria,2015,7.30,45.70,70.10,62.50,91.20,14.60,70.10,18.20,55.50,6.50,5.80,10.10,7.00,22.30,5.30,0.46,0.04,0.05,0.01,1.60,999.00,5.50,13.60,51.70,32.00
Poland,2015,5.30,21.40,67.20,33.10,92.80,19.80,30.00,1.70,14.80,4.80,4.94,10.50,6.00,6.40,9.90,0.01,0.13,0.02,0.05,0.20,999.00,12.90,12.30,40.10,16.00
Portugal,2015,13.70,26.30,53.30,18.90,95.10,4.70,66.00,7.10,52.80,7.90,5.27,10.60,12.00,3.80,5.10,0.27,0.16,0.04,0.00,1.10,999.00,2.30,0.00,42.30,26.00
Romania,2015,19.10,28.80,64.50,52.00,99.50,11.50,19.10,3.90,13.10,4.40,3.07,35.60,NA,1.10,NA,0.00,0.02,0.00,0.00,0.10,36.00,2.20,0.70,43.20,NA
Slovenia,2015,5.00,25.30,83.60,50.10,94.10,18.30,68.10,19.10,46.10,8.40,5.68,7.00,11.00,15.70,47.60,0.04,0.02,0.09,0.01,0.60,999.00,0.00,44.10,31.00,23.00
Slovakia,2015,6.90,52.90,62.60,37.90,96.30,1.90,54.30,14.00,36.50,6.50,4.06,6.10,6.00,1.80,4.30,0.01,0.08,0.02,0.01,0.50,999.00,1.50,19.20,51.80,14.00
Finland,2015,9.20,29.30,84.90,66.80,93.70,22.60,56.50,20.90,49.10,5.10,6.76,7.50,15.00,18.40,16.60,0.48,0.12,0.13,0.01,2.70,999.00,1.10,7.00,40.10,28.00
Sweden,2015,7.00,26.00,88.70,52.60,91.20,29.70,68.80,27.20,46.80,7.00,6.82,18.40,21.00,15.00,23.60,0.15,0.60,0.00,0.01,1.00,999.00,0.60,12.80,49.10,31.00
United Kingdom,2015,10.80,48.70,81.50,65.80,92.90,19.40,67.80,29.10,67.30,5.30,5.98,11.60,7.00,16.00,3.80,0.02,0.01,0.00,0.00,0.40,48.00,0.30,0.00,33.50,21.00
