gender,educ,salary,salbegin,jobtime,prevexpe,jobcat,polytech
1,12,20400,11250,6,0,1,0
1,12,23850,12750,12,3,1,0
1,12,22800,11250,12,0,1,0
1,12,20700,11250,12,0,1,0
1,12,21300,11250,12,1,1,0
1,12,24300,15000,12,21,2,0
1,12,19650,13950,12,23,2,0
0,17,60000,32490,12,3,2,0
0,15,30300,15750,12,10,2,1
0,19,61250,33000,12,2,2,0
0,19,36000,19500,12,4,2,0
1,12,16200,10200,12,31,2,0
1,12,22800,11250,12,0,1,0
1,16,43500,19500,12,2,2,0
0,8,30300,15750,12,27,2,0
0,15,31950,15750,12,12,2,1
0,15,35250,13500,12,1,2,1
0,15,37800,15000,12,6,2,1
0,15,31200,15750,12,8,2,1
0,15,29400,16500,12,12,2,1
0,19,70000,35040,12,13,2,0
0,15,33900,15750,12,17,2,1
0,15,27150,16500,12,14,2,1
1,12,22200,13800,12,34,2,0
1,15,31350,11100,12,8,2,1
1,12,20850,13500,12,31,2,0
0,16,33300,17490,12,21,2,0
0,8,26250,16050,12,17,2,0
0,15,31950,15750,12,10,2,1
0,19,66250,34980,12,17,2,0
0,18,86250,45000,11,9,2,0
0,12,30750,15000,11,10,2,0
0,12,33540,15750,11,8,2,0
0,16,34950,20250,11,10,2,0
0,15,40350,16500,11,14,2,1
0,12,30270,15750,11,14,2,0
0,15,32400,15000,11,11,2,1
1,12,20400,11250,11,0,1,0
1,8,24150,12750,11,17,2,0
1,15,23850,13500,11,21,2,1
1,12,29700,13500,11,5,2,0
1,8,21600,13500,11,40,2,0
1,12,24450,15750,11,15,2,0
0,15,28050,16500,11,15,2,1
0,16,100000,44100,11,22,3,0
0,15,49000,20550,11,15,2,1
1,12,16350,10200,11,28,2,0
0,16,70000,21750,11,3,2,0
0,19,55000,34980,11,22,3,0
0,15,28500,14250,11,3,1,1
0,12,28800,18000,11,37,2,0
0,19,90625,31250,11,3,2,0
0,16,43650,19500,11,3,2,0
0,19,75000,42510,11,9,2,0
0,15,31650,14250,11,2,2,1
0,19,61875,28740,11,5,2,0
1,12,21750,11250,11,0,1,0
1,12,24300,10950,16,1,1,0
1,12,24750,14250,16,34,2,0
1,12,22950,11250,16,0,1,0
1,8,25050,10950,16,1,1,0
0,15,25950,17100,16,7,2,1
0,15,31650,15750,16,11,2,1
0,12,24150,14100,16,23,2,0
0,19,72500,28740,16,2,2,0
0,19,68750,27480,16,1,2,0
1,8,16200,9750,16,0,1,0
1,12,20100,11250,16,4,1,0
1,8,24000,10950,16,1,1,0
1,12,25950,10950,16,0,1,0
1,12,24600,10050,16,8,2,0
1,12,28500,10500,16,1,1,0
0,17,40200,19500,16,29,3,0
0,8,30000,15000,16,25,2,0
1,12,22050,10950,16,1,1,0
0,15,57000,27000,17,25,3,1
0,16,40200,18750,17,6,2,0
1,8,21900,13200,17,33,2,0
0,15,45000,21000,17,24,3,1
0,15,32100,13500,17,12,2,1
0,15,36000,18750,17,20,2,1
1,12,21900,9750,17,0,1,0
1,15,27900,12750,17,20,2,1
1,16,30300,16500,17,25,2,0
0,8,28350,12000,17,5,1,0
0,15,27750,14250,17,6,2,1
1,15,35100,16800,17,24,2,1
0,12,27300,13500,17,11,2,0
0,12,40800,15000,17,4,2,0
0,15,46000,14250,17,8,2,1
0,16,103750,27510,17,12,2,0
0,12,42300,14250,17,18,3,0
0,18,78250,27480,16,8,2,0
0,16,60625,22500,16,8,2,0
0,14,39900,15750,16,10,2,1
0,19,97000,35010,16,12,2,0
0,15,27450,15750,16,8,2,1
0,15,31650,13500,16,3,2,1
0,19,91250,29490,16,4,2,0
1,12,25200,14400,16,14,2,0
1,12,21000,11550,16,19,2,0
0,12,30450,15000,16,9,2,0
0,15,28350,18000,16,26,2,1
0,16,54875,27480,16,12,2,0
0,14,37800,16500,16,10,2,1
0,15,33450,14100,16,15,2,1
0,15,30300,16500,16,3,2,1
1,12,31500,18750,16,36,2,0
1,12,31650,14250,16,8,2,0
1,12,25200,14100,16,10,2,0
1,16,37800,15750,16,1,2,0
1,15,18750,10500,16,9,2,1
1,15,32550,13500,16,4,2,1
1,12,33300,15000,16,1,2,0
1,16,38550,16500,16,0,2,0
0,12,27450,15000,16,30,2,0
0,15,24300,15000,16,33,2,1
0,12,30750,15000,16,36,2,0
1,12,19650,9750,16,40,2,0
0,17,68750,27510,15,7,2,0
0,20,59375,30000,15,1,2,0
0,15,31500,15750,15,4,2,1
0,12,27300,17250,15,30,2,0
0,15,27000,15750,15,15,2,1
1,12,26250,10950,15,0,1,0
1,8,20100,13200,15,16,2,0
1,12,22350,13500,15,5,1,0
1,15,35550,13350,15,6,2,1
1,12,28500,13950,15,6,1,0
1,12,24450,13200,15,19,2,0
0,12,26700,13500,15,7,1,0
0,18,43950,23250,15,32,3,0
1,15,26550,14250,15,11,2,1
0,12,27600,15000,15,13,2,0
0,12,25800,15000,15,25,2,0
0,16,42300,26250,15,22,3,0
1,12,26700,12900,15,3,1,0
1,12,20850,12000,15,28,2,0
0,15,35250,15000,15,9,2,1
0,15,26700,15000,15,10,2,1
1,12,26550,13050,15,2,1,0
1,12,27750,12000,15,2,1,0
1,16,25050,12750,15,21,2,0
0,16,66000,47490,15,26,3,0
0,16,52650,19500,15,3,2,0
0,16,45625,23250,15,10,2,0
0,15,30900,15000,15,4,2,1
1,15,29400,16500,15,4,2,1
1,15,33300,13500,15,4,2,1
1,12,21900,9750,15,27,2,0
1,12,18150,9750,15,13,2,0
1,16,46875,17250,15,3,2,0
0,12,25500,14400,15,6,1,0
0,12,26550,15000,15,7,1,0
1,15,29850,15000,15,14,2,1
0,20,69250,42480,15,23,3,0
0,8,26250,15600,15,30,2,0
1,16,35700,17250,15,3,2,0
1,12,28500,16500,15,12,2,0
1,12,17100,10200,15,13,2,0
0,12,25200,13050,15,5,1,0
1,12,24000,12750,15,10,2,0
1,12,27450,10200,15,18,2,0
1,12,18450,10200,15,40,2,0
0,15,39300,15750,15,13,2,1
0,15,38850,15000,15,9,2,1
0,15,37500,20400,15,6,2,1
0,16,58750,21750,15,2,2,0
1,12,34500,18750,15,36,2,0
1,8,29100,16500,15,6,2,0
0,12,19650,12750,15,31,2,0
1,12,24750,12000,15,7,1,0
1,15,27150,15750,15,40,2,1
1,12,26400,12750,15,6,1,0
1,16,23100,12000,15,37,2,0
0,15,54900,25500,14,9,2,1
0,19,70875,43500,14,27,3,0
0,16,51250,27480,14,12,2,0
0,17,67500,34980,14,2,2,0
0,12,29340,19500,14,26,2,0
0,15,39600,16500,14,8,2,1
0,12,29100,15000,14,9,2,0
0,15,33150,16500,14,12,2,1
0,15,27300,17250,14,16,2,1
1,12,24000,11250,14,3,1,0
1,8,19800,10200,14,13,2,0
0,15,30600,16500,14,38,2,1
0,15,28950,15000,14,19,2,1
0,15,38400,16500,14,11,2,1
1,12,20400,10950,14,2,1,0
1,12,19200,11100,14,1,1,0
0,15,30150,15750,14,13,2,1
0,16,34620,27750,14,26,2,0
0,15,80000,15750,14,6,2,1
0,12,25350,15000,14,6,1,0
0,12,29850,15750,14,15,2,0
1,12,24000,13800,14,17,2,0
1,8,22350,10200,14,8,1,0
1,12,16200,10200,14,0,1,0
1,15,21900,12750,14,0,1,1
1,16,23250,15750,14,1,1,0
1,12,33900,12000,14,2,2,0
1,15,25650,14250,14,9,2,1
0,16,40200,21000,14,1,2,0
0,19,55500,33750,14,11,2,0
0,15,26550,15000,14,9,2,1
0,15,50550,19500,14,8,2,1
0,19,75000,31500,14,2,2,0
1,8,27450,12000,14,2,1,0
1,12,22650,11250,14,0,1,0
1,12,27300,11250,14,1,1,0
1,12,27750,11225,14,1,1,0
1,16,54375,18750,14,14,2,0
1,12,40800,18000,14,1,2,0
1,12,23100,10950,14,0,1,0
1,8,22500,10950,14,1,1,0
1,12,26700,11550,14,3,1,0
1,12,24900,11250,14,0,1,0
1,12,19650,10950,14,2,1,0
1,12,22050,10950,14,2,1,0
1,12,25500,12000,14,2,1,0
1,15,28200,12750,14,3,1,1
1,12,23100,11250,14,2,1,0
0,12,25500,11400,14,2,1,0
1,8,17100,10200,14,0,1,0
0,18,68125,32490,14,5,2,0
0,19,52125,27480,14,38,3,0
0,19,61875,36750,14,35,3,0
0,8,21300,11550,14,4,1,0
1,12,19650,11250,14,1,1,0
1,12,22350,11250,14,1,1,0
1,12,23400,11250,14,3,1,0
1,12,24300,10950,14,1,1,0
1,12,28500,11250,14,1,1,0
1,12,19950,11250,14,1,1,0
1,12,23400,11250,14,0,1,0
1,16,34500,17250,14,1,2,0
1,12,18150,10950,14,0,1,0
0,15,40200,17250,14,7,2,1
0,15,27750,16500,14,10,2,1
0,18,66875,31980,14,5,2,0
0,16,83750,21750,14,2,2,0
0,12,33900,16500,14,16,2,0
0,16,56500,21000,14,2,2,0
1,16,43000,17490,14,3,2,0
1,8,20850,12000,14,12,2,0
1,12,24450,12000,14,1,1,0
1,12,24750,10950,14,1,1,0
0,14,27900,15000,14,8,1,1
0,19,68125,32010,14,6,2,0
0,19,73500,33000,14,8,2,0
0,15,40050,25500,14,23,3,1
0,16,40350,19500,14,3,2,0
0,15,38700,23730,14,31,3,1
0,17,65000,30750,14,5,2,0
0,18,51450,36240,14,26,3,0
0,14,25950,15000,14,9,2,1
0,15,25050,14250,14,4,1,1
0,12,26700,12750,14,4,1,0
0,12,26850,15000,14,8,1,0
1,12,23400,15300,14,36,2,0
1,12,24600,13500,14,8,1,0
1,15,32550,18000,14,1,2,1
0,16,26550,15000,14,18,2,0
0,12,31500,13500,14,1,2,0
1,15,25800,13500,14,9,2,1
0,15,30750,16500,13,7,2,1
0,15,34500,18000,13,11,2,1
0,15,26250,15750,13,7,1,1
0,16,44875,21240,13,4,2,0
1,12,22500,12000,13,11,2,0
1,12,25650,14250,13,11,2,0
1,12,21300,11250,13,0,1,0
1,12,29850,13500,13,7,2,0
1,12,34500,12150,13,1,2,0
0,15,27750,15000,13,9,1,1
0,12,27750,11550,13,2,1,0
0,16,48750,21990,13,11,2,0
0,15,43410,15750,13,2,2,1
1,12,22050,12000,13,1,1,0
1,12,22500,14250,13,16,2,0
1,15,25500,12000,13,1,1,1
1,12,29160,15000,13,4,2,0
1,8,16800,10200,13,13,2,0
0,8,29550,15750,13,25,2,0
0,12,26700,15750,13,3,1,0
0,18,55000,32490,13,22,3,0
0,18,62500,34980,13,13,2,0
0,15,27300,17250,13,23,2,1
1,12,24450,12000,13,25,2,0
1,16,33000,18000,13,5,2,0
1,15,37050,18000,13,1,2,1
1,12,24450,10950,13,6,1,0
0,16,47250,21240,13,8,2,0
1,12,26100,11550,13,0,1,0
1,8,15900,10200,13,7,1,0
1,12,24450,14250,13,20,2,0
0,16,103500,60000,13,26,3,0
0,12,35700,16500,13,13,2,0
1,12,22200,16500,13,1,1,0
1,15,22950,13950,13,4,1,1
1,12,23100,12000,13,40,2,0
1,16,56750,30000,13,3,2,0
1,12,37650,15750,13,23,2,0
1,12,27900,13500,13,6,1,0
1,8,21150,12000,13,28,2,0
0,12,31200,15750,13,27,2,0
1,12,20550,11250,13,27,2,0
0,15,25950,17250,13,14,2,1
0,15,28350,15000,13,8,1,1
1,8,17700,10200,13,32,2,0
1,15,23550,13500,13,9,1,1
1,12,19950,10200,13,10,2,0
1,12,29400,15300,13,5,2,0
1,12,28800,13950,13,3,2,0
0,16,35700,18000,13,24,2,0
1,12,17400,10200,13,20,2,0
1,8,21450,10200,13,34,2,0
1,12,24750,12000,13,12,2,0
1,12,26100,13500,13,29,2,0
0,14,28050,15000,12,3,1,1
1,16,36600,18000,12,2,2,0
1,16,58125,18000,12,2,2,0
0,12,22500,16500,12,38,2,0
0,15,29400,15750,12,3,2,1
0,12,27450,14700,12,7,1,0
0,15,29850,15750,12,8,2,1
0,15,25350,15750,12,10,1,1
1,8,19650,13050,12,18,2,0
1,12,21000,13500,12,14,2,0
0,17,27000,18000,12,33,2,0
0,12,24000,15750,12,21,2,0
0,17,78500,28740,12,12,2,0
1,12,20850,13050,12,22,2,0
0,8,28500,15750,12,30,2,0
0,19,65000,31980,12,13,2,0
0,14,30150,16500,12,19,2,1
0,19,66875,32490,12,14,2,0
1,15,24150,13500,12,1,1,1
1,12,24450,12450,12,2,1,0
1,12,21600,12000,12,0,1,0
1,12,27900,12450,12,0,1,0
1,8,29100,12450,12,3,2,0
1,12,22650,11250,12,0,1,0
1,12,20850,11250,12,0,1,0
1,12,22950,12300,12,1,1,0
1,12,30600,12450,12,1,2,0
1,12,20400,11250,12,0,1,0
1,12,23850,12750,12,3,1,0
1,12,22800,11250,12,0,1,0
1,12,20700,11250,12,0,1,0
1,12,21300,11250,12,1,1,0
1,12,24300,15000,12,21,2,0
1,12,19650,13950,12,23,2,0
0,17,60000,32490,12,3,2,0
0,15,30300,15750,12,10,2,1
0,19,61250,33000,12,2,2,0
0,19,36000,19500,12,4,2,0
1,12,16200,10200,12,31,2,0
1,12,22800,11250,12,0,1,0
1,16,43500,19500,12,2,2,0
0,8,30300,15750,12,27,2,0
0,15,31950,15750,12,12,2,1
0,15,35250,13500,12,1,2,1
0,15,37800,15000,12,6,2,1
0,15,31200,15750,12,8,2,1
0,15,29400,16500,12,12,2,1
0,19,70000,35040,12,13,2,0
0,15,33900,15750,12,17,2,1
0,15,27150,16500,12,14,2,1
1,12,22200,13800,12,34,2,0
1,15,31350,11100,12,8,2,1
1,12,20850,13500,12,31,2,0
0,16,33300,17490,12,21,2,0
0,8,26250,16050,12,17,2,0
0,15,31950,15750,12,10,2,1
0,19,66250,34980,12,17,2,0
0,18,86250,45000,11,9,2,0
0,12,30750,15000,11,10,2,0
0,12,33540,15750,11,8,2,0
0,16,34950,20250,11,10,2,0
0,15,40350,16500,11,14,2,1
0,12,30270,15750,11,14,2,0
0,15,32400,15000,11,11,2,1
1,12,20400,11250,11,0,1,0
1,8,24150,12750,11,17,2,0
1,15,23850,13500,11,21,2,1
1,12,29700,13500,11,5,2,0
1,12,24450,15750,11,15,2,0
0,15,28050,16500,11,15,2,1
0,16,100000,44100,11,22,3,0
0,15,49000,20550,11,15,2,1
1,12,16350,10200,11,28,2,0
0,16,70000,21750,11,3,2,0
0,19,55000,34980,11,22,3,0
0,15,28500,14250,11,3,1,1
0,12,28800,18000,11,37,2,0
0,19,90625,31250,11,3,2,0
0,16,43650,19500,11,3,2,0
0,19,75000,42510,11,9,2,0
0,15,31650,14250,11,2,2,1
0,19,61875,28740,11,5,2,0
1,12,21750,11250,11,0,1,0
